"Product_1","Product_2","Times_Purchased_Together","Combined_Revenue"
"Miniket Rice 5kg","Power Bank 10000mAh",18,58450.00
"Bru Coffee 200g","Power Bank 10000mAh",17,53430.00
"Banglalink Internet Pack","Power Bank 10000mAh",14,41267.00
"Broiler Chicken (whole)","Power Bank 10000mAh",11,37790.00
"Wheel Washing Powder 1kg","Power Bank 10000mAh",11,34010.00
"Miniket Rice 5kg","Nazirshail Rice 5kg",13,33360.00
"T-shirt (Women)","Power Bank 10000mAh",10,32870.00
"Nazirshail Rice 5kg","Power Bank 10000mAh",8,32250.00
"Rupchanda Soyabean Oil 1L","Power Bank 10000mAh",10,31225.00
"Wallet (Men)","Power Bank 10000mAh",10,31150.00
