"Date","Total_Orders","Total_Items","Completed Orders","Cancelled Orders","Total_Revenue"
"2025-12-12",18,161,12,2,20401.00
"2025-12-11",15,149,10,2,21007.00
"2025-12-10",18,170,10,3,19923.00
"2025-12-09",10,94,8,1,13012.00
"2025-12-08",13,125,7,4,11858.00
"2025-12-07",15,162,6,3,9277.00
"2025-12-06",23,215,16,3,26111.00
"2025-12-05",13,119,9,1,21763.00
"2025-12-04",13,142,7,3,16074.00
"2025-12-03",13,132,6,2,9214.00
"2025-12-02",12,123,9,1,19456.00
"2025-12-01",10,86,4,4,4459.00
"2025-11-30",14,129,9,3,15251.00
"2025-11-29",14,131,7,4,10676.00
"2025-11-28",12,109,8,1,17468.00
"2025-11-27",14,149,10,2,24821.00
"2025-11-26",17,160,9,5,14274.00
"2025-11-25",6,61,3,3,4956.00
"2025-11-24",14,139,8,4,14698.00
"2025-11-23",8,85,5,1,9486.00
"2025-11-22",15,132,9,3,19735.00
"2025-11-21",13,125,10,2,22123.00
"2025-11-20",14,136,10,3,14834.00
"2025-11-19",7,61,5,2,9205.00
"2025-11-18",12,125,6,3,15043.00
"2025-11-17",10,106,4,3,5172.00
"2025-11-16",14,147,10,1,22432.00
"2025-11-15",7,71,5,1,10869.00
"2025-11-14",13,126,6,5,10825.00
"2025-11-13",10,93,7,1,12910.00
"2025-11-12",7,69,1,3,2138.00
"2025-11-11",15,131,9,4,13237.00
"2025-11-10",14,146,10,4,17148.00
"2025-11-09",10,94,7,1,17950.00
"2025-11-08",14,117,11,2,14754.00
"2025-11-07",11,102,6,3,8358.00
"2025-11-06",10,91,6,1,11376.00
"2025-11-05",16,171,9,3,16065.00
"2025-11-04",10,87,3,4,2249.00
"2025-11-03",14,134,9,2,17869.00
"2025-11-02",21,192,11,5,18329.00
"2025-11-01",15,140,7,5,10893.00
"2025-10-31",11,117,6,4,11465.00
"2025-10-30",14,146,8,5,14483.00
"2025-10-29",12,116,8,3,12563.00
"2025-10-28",15,144,11,2,18095.00
"2025-10-27",9,90,8,0,12325.00
"2025-10-26",15,144,9,3,19675.00
"2025-10-25",16,144,11,2,11744.00
"2025-10-24",10,98,5,3,12006.00
"2025-10-23",9,93,4,4,8463.00
"2025-10-22",15,142,6,4,14516.00
"2025-10-21",17,163,12,2,21911.00
"2025-10-20",14,127,6,3,14775.00
"2025-10-19",11,103,9,2,13651.00
"2025-10-18",12,111,11,1,21819.00
"2025-10-17",12,114,10,1,18045.00
"2025-10-16",16,153,9,4,16507.00
"2025-10-15",12,112,5,2,9002.00
"2025-10-14",12,120,7,3,15690.00
"2025-10-13",19,179,12,4,24829.00
"2025-10-12",15,152,9,2,14063.00
"2025-10-11",6,60,5,1,11186.00
"2025-10-10",17,152,7,5,14418.00
"2025-10-09",12,135,5,3,14769.00
"2025-10-08",11,105,9,1,11596.00
"2025-10-07",10,79,5,3,4105.00
"2025-10-06",17,172,9,4,17505.00
"2025-10-05",19,181,11,5,15456.00
"2025-10-04",16,154,7,4,15293.00
"2025-10-03",13,138,8,2,15293.00
"2025-10-02",12,111,8,2,11221.00
"2025-10-01",14,138,7,5,16959.00
"2025-09-30",12,110,9,1,16290.00
"2025-09-29",13,124,6,3,16245.00
"2025-09-28",18,161,8,5,13691.00
"2025-09-27",11,92,5,3,6401.00
"2025-09-26",21,182,10,6,14669.00
"2025-09-25",17,171,7,5,11961.00
"2025-09-24",18,183,10,5,20501.00
"2025-09-23",20,190,13,2,25231.00
"2025-09-22",12,123,8,4,13800.00
"2025-09-21",13,122,10,1,19849.00
"2025-09-20",13,117,8,2,10006.00
"2025-09-19",6,56,6,0,10003.00
"2025-09-18",8,73,3,1,4559.00
"2025-09-17",21,192,14,2,22783.00
"2025-09-16",14,135,8,3,17661.00
"2025-09-15",11,101,7,1,9754.00
"2025-09-14",15,147,10,0,16077.00
